,baffles end1,baffles end2,bike infrastructure type,bike network,comments,corridor function,corridor name,corridor type,description,eq no,facilityid,fencing side1,fencing side2,habitat,legacyid,length,location,maintenance responsibility,material,operating location,operating location type,operational responsibility,operator,owner,park ownership,prk bridge special features,prk trail service class,project no,railings material1,railings material2,reference no,route type2,status,trees planted,use level,width,yr
comments,0.16666666666666663,0.16666666666666663,0.22916666666666663,0.125,1.0,0.23529411764705888,0.2692307692307693,0.2692307692307693,0.09090909090909094,0.125,0.09999999999999998,0.11538461538461542,0.11538461538461542,0.0625,0.0,0.1875,0.125,0.1923076923076923,0.0,0.16666666666666663,0.19565217391304346,0.15384615384615385,0.125,0.25,0.1428571428571429,0.16666666666666663,0.13043478260869568,0.19999999999999996,0.13888888888888884,0.13888888888888884,0.16666666666666663,0.2727272727272727,0.0625,0.15384615384615385,0.11111111111111116,0.125,0.0
description,0.0,0.0,0.16666666666666663,0.16666666666666663,0.09090909090909094,0.2647058823529411,0.11538461538461542,0.15384615384615385,1.0,0.13636363636363635,0.18181818181818177,0.23076923076923073,0.23076923076923073,0.13636363636363635,0.18181818181818177,0.18181818181818177,0.40909090909090906,0.17307692307692313,0.18181818181818177,0.3055555555555556,0.23913043478260865,0.28846153846153844,0.2272727272727273,0.045454545454545414,0.0,0.14814814814814814,0.10869565217391308,0.09090909090909094,0.11111111111111116,0.11111111111111116,0.20833333333333337,0.0,0.18181818181818177,0.15384615384615385,0.09090909090909094,0.18181818181818177,0.045454545454545414
facilityid,0.20833333333333337,0.20833333333333337,0.20833333333333337,0.08333333333333337,0.09999999999999998,0.11764705882352944,0.07692307692307687,0.23076923076923073,0.18181818181818177,0.0,1.0,0.3846153846153846,0.3846153846153846,0.30000000000000004,0.25,0.09999999999999998,0.19999999999999996,0.17307692307692313,0.19999999999999996,0.19444444444444442,0.21739130434782605,0.23076923076923073,0.09999999999999998,0.0,0.1428571428571429,0.16666666666666663,0.13043478260869568,0.09999999999999998,0.2222222222222222,0.2222222222222222,0.08333333333333337,0.18181818181818177,0.09999999999999998,0.11538461538461542,0.09999999999999998,0.19999999999999996,0.09999999999999998
house no,0.16666666666666663,0.16666666666666663,0.22916666666666663,0.16666666666666663,0.25,0.1470588235294118,0.23076923076923073,0.15384615384615385,0.045454545454545414,0.3125,0.0,0.07692307692307687,0.07692307692307687,0.1875,0.0,0.0,0.125,0.1923076923076923,0.0,0.11111111111111116,0.15217391304347827,0.15384615384615385,0.0625,0.25,0.1428571428571429,0.14814814814814814,0.13043478260869568,0.35,0.08333333333333337,0.08333333333333337,0.29166666666666663,0.36363636363636365,0.0,0.15384615384615385,0.2222222222222222,0.0,0.0
location,0.08333333333333337,0.08333333333333337,0.16666666666666663,0.16666666666666663,0.125,0.3529411764705882,0.15384615384615385,0.15384615384615385,0.40909090909090906,0.0625,0.19999999999999996,0.15384615384615385,0.15384615384615385,0.125,0.3125,0.3125,1.0,0.17307692307692313,0.125,0.5833333333333333,0.4565217391304348,0.3076923076923077,0.1875,0.125,0.0714285714285714,0.18518518518518523,0.15217391304347827,0.19999999999999996,0.19444444444444442,0.19444444444444442,0.04166666666666663,0.18181818181818177,0.25,0.07692307692307687,0.0,0.125,0.0
maintenance responsibility,0.15384615384615385,0.15384615384615385,0.17307692307692313,0.1923076923076923,0.11538461538461542,0.11538461538461542,0.11538461538461542,0.11538461538461542,0.17307692307692313,0.09615384615384615,0.13461538461538458,0.1923076923076923,0.1923076923076923,0.11538461538461542,0.13461538461538458,0.11538461538461542,0.09615384615384615,1.0,0.21153846153846156,0.15384615384615385,0.11538461538461542,0.5961538461538461,0.11538461538461542,0.05769230769230771,0.17307692307692313,0.07407407407407407,0.1923076923076923,0.11538461538461542,0.23076923076923073,0.23076923076923073,0.21153846153846156,0.15384615384615385,0.07692307692307687,0.13461538461538458,0.13461538461538458,0.07692307692307687,0.019230769230769273
map page,0.16666666666666663,0.16666666666666663,0.1875,0.08333333333333337,0.0,0.05882352941176472,0.1923076923076923,0.11538461538461542,0.09090909090909094,0.125,0.09999999999999998,0.11538461538461542,0.11538461538461542,0.25,0.0,0.0,0.0,0.23076923076923073,0.3125,0.16666666666666663,0.21739130434782605,0.15384615384615385,0.125,0.0,0.1785714285714286,0.2592592592592593,0.23913043478260865,0.0,0.2777777777777778,0.2777777777777778,0.04166666666666663,0.13636363636363635,0.0,0.23076923076923073,0.16666666666666663,0.0,0.0
operational responsibility,0.17307692307692313,0.17307692307692313,0.11538461538461542,0.15384615384615385,0.11538461538461542,0.1923076923076923,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.09615384615384615,0.15384615384615385,0.1923076923076923,0.1923076923076923,0.11538461538461542,0.11538461538461542,0.11538461538461542,0.17307692307692313,0.5961538461538461,0.15384615384615385,0.42307692307692313,0.40384615384615385,1.0,0.2692307692307693,0.11538461538461542,0.23076923076923073,0.07407407407407407,0.23076923076923073,0.15384615384615385,0.23076923076923073,0.23076923076923073,0.15384615384615385,0.13461538461538458,0.09615384615384615,0.13461538461538458,0.11538461538461542,0.07692307692307687,0.019230769230769273
park name,0.16666666666666663,0.16666666666666663,0.22916666666666663,0.16666666666666663,0.11111111111111116,0.1470588235294118,0.42307692307692313,0.1923076923076923,0.09090909090909094,0.2222222222222222,0.09999999999999998,0.11538461538461542,0.11538461538461542,0.2222222222222222,0.0,0.11111111111111116,0.0,0.21153846153846156,0.2222222222222222,0.2222222222222222,0.23913043478260865,0.23076923076923073,0.11111111111111116,0.11111111111111116,0.4285714285714286,0.2962962962962963,0.30434782608695654,0.15000000000000002,0.19444444444444442,0.19444444444444442,0.08333333333333337,0.13636363636363635,0.0,0.1923076923076923,0.05555555555555558,0.0,0.05555555555555558
park ownership,0.1428571428571429,0.1428571428571429,0.125,0.2142857142857143,0.1428571428571429,0.17647058823529416,0.0714285714285714,0.1071428571428571,0.0,0.1071428571428571,0.1428571428571429,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.1071428571428571,0.0714285714285714,0.17307692307692313,0.2142857142857143,0.16666666666666663,0.17391304347826086,0.23076923076923073,0.2142857142857143,0.3214285714285714,1.0,0.2222222222222222,0.21739130434782605,0.25,0.2222222222222222,0.2222222222222222,0.0714285714285714,0.1071428571428571,0.0357142857142857,0.0714285714285714,0.1428571428571429,0.1071428571428571,0.0357142857142857
road code,0.16666666666666663,0.16666666666666663,0.1875,0.16666666666666663,0.11111111111111116,0.17647058823529416,0.23076923076923073,0.23076923076923073,0.0,0.16666666666666663,0.0,0.1923076923076923,0.1923076923076923,0.11111111111111116,0.11111111111111116,0.0,0.2222222222222222,0.11538461538461542,0.11111111111111116,0.16666666666666663,0.19565217391304346,0.15384615384615385,0.11111111111111116,0.11111111111111116,0.1071428571428571,0.18518518518518523,0.21739130434782605,0.19999999999999996,0.16666666666666663,0.16666666666666663,0.20833333333333337,0.36363636363636365,0.11111111111111116,0.1923076923076923,0.05555555555555558,0.11111111111111116,0.0
service classification,0.09090909090909094,0.09090909090909094,0.125,0.18181818181818177,0.09090909090909094,0.2954545454545454,0.13636363636363635,0.13636363636363635,0.2954545454545454,0.11363636363636365,0.18181818181818177,0.20454545454545459,0.20454545454545459,0.15909090909090906,0.15909090909090906,0.09090909090909094,0.2954545454545454,0.23076923076923073,0.11363636363636365,0.36363636363636365,0.21739130434782605,0.23076923076923073,0.15909090909090906,0.045454545454545414,0.13636363636363635,0.20370370370370372,0.17391304347826086,0.13636363636363635,0.15909090909090906,0.15909090909090906,0.15909090909090906,0.13636363636363635,0.15909090909090906,0.2272727272727273,0.11363636363636365,0.09090909090909094,0.022727272727272707
status,0.08333333333333337,0.08333333333333337,0.20833333333333337,0.08333333333333337,0.0625,0.11764705882352944,0.07692307692307687,0.07692307692307687,0.18181818181818177,0.0,0.09999999999999998,0.07692307692307687,0.07692307692307687,0.1428571428571429,0.125,0.0,0.25,0.17307692307692313,0.125,0.2777777777777778,0.21739130434782605,0.1923076923076923,0.25,0.0,0.0714285714285714,0.2222222222222222,0.19565217391304346,0.09999999999999998,0.2222222222222222,0.2222222222222222,0.0,0.18181818181818177,1.0,0.1923076923076923,0.11111111111111116,0.16666666666666663,0.0
status date,0.16666666666666663,0.16666666666666663,0.22916666666666663,0.0,0.09090909090909094,0.11764705882352944,0.1923076923076923,0.11538461538461542,0.0,0.09090909090909094,0.09090909090909094,0.11538461538461542,0.11538461538461542,0.2272727272727273,0.045454545454545414,0.09090909090909094,0.09090909090909094,0.17307692307692313,0.2727272727272727,0.2777777777777778,0.21739130434782605,0.1923076923076923,0.09090909090909094,0.0,0.0357142857142857,0.18518518518518523,0.17391304347826086,0.0,0.25,0.25,0.0,0.13636363636363635,0.5454545454545454,0.3076923076923077,0.09090909090909094,0.13636363636363635,0.0
work assignment,0.1333333333333333,0.1333333333333333,0.16666666666666663,0.06666666666666665,0.23333333333333328,0.17647058823529416,0.23333333333333328,0.16666666666666663,0.09999999999999998,0.09999999999999998,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.16666666666666663,0.1333333333333333,0.06666666666666665,0.23333333333333328,0.13461538461538458,0.06666666666666665,0.13888888888888884,0.17391304347826086,0.17307692307692313,0.1333333333333333,0.16666666666666663,0.19999999999999996,0.20370370370370372,0.19565217391304346,0.1333333333333333,0.11111111111111116,0.11111111111111116,0.16666666666666663,0.1333333333333333,0.06666666666666665,0.19999999999999996,0.1333333333333333,0.1333333333333333,0.033333333333333326
