,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,MATERIAL,OPERATOR,ROUTE_TYPE2,STATUS,TREES_PLANTED
0,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
1,Bike Lanes,,,,,,Engineering,Bike Route,In Service,
2,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
3,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
4,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
5,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
6,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
7,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
8,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
9,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
10,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
11,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
12,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
13,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
14,Cycling-Permitted Sidewalk,,Multi-use,BC Parkway,Greenway,Concrete,Engineering,Bike Route,In Service,No
15,Neighbourhood Bike Route,,Transportation,,Engineering,,Engineering,Bike Route,In Service,
16,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
17,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
18,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
19,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
20,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
21,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
22,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
23,Bike Lanes,,Transportation,,Engineering,,Engineering,Bike Route,In Service,
24,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
25,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
26,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
27,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
28,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
29,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
30,Bike Lanes,,Transportation,,,Asphalt,Engineering,Bike Route,Proposed,
31,Bike Lanes,,Transportation,,,Asphalt,Engineering,Bike Route,Proposed,
32,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
33,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
34,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
35,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
36,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
37,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
38,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
39,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
40,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
41,Neighbourhood Bike Route,,Transportation,Port Mann - City Centre,Engineering,,,Bike Route,In Service,
42,Bike Lanes,,Multi-use,Bon Accord Greenway,Greenway,Other,Engineering,Bike Route,In Service,
43,Neighbourhood Bike Route,,Transportation,Port Mann - City Centre,Engineering,,,Bike Route,In Service,
44,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
45,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
46,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
47,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
48,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
49,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
50,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
51,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
52,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
53,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
54,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
55,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
56,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
57,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
58,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
59,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
60,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
61,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
62,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
63,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
64,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
65,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
66,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
67,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
68,Neighbourhood Bike Route,,Multi-use,North Creek Greenway,Greenway,Asphalt,Engineering,Bike Route,In Service,No
69,Cycling-Permitted Sidewalk,,Multi-use,Bose Greenway,Greenway,Asphalt,Engineering,Bike Route,In Service,
70,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
71,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
72,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
73,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
74,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
75,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
76,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
77,Bike Lanes,,,,,,Engineering,Bike Route,In Service,
78,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
79,Cycling-Permitted Sidewalk,,Transportation,,Engineering,Concrete,Engineering,Bike Route,In Service,
80,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
81,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
82,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
83,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
84,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
85,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
86,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
87,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
88,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
89,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
90,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
91,Cycling-Permitted Sidewalk,,,,,Concrete,Engineering,Bike Route,In Service,No
92,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
93,Protected Bike Lanes,,,,,Asphalt,,Bike Route,Proposed,
94,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
95,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
96,Protected Bike Lanes,,,,,Asphalt,,Bike Route,Proposed,
97,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
98,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
99,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
100,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
101,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
102,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
103,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
104,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
105,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
106,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
107,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
108,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
109,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
110,Protected Bike Lanes,,,,,Asphalt,,Bike Route,Proposed,
111,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
112,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
113,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
114,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
115,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
116,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
117,Neighbourhood Bike Route,,,Port Mann- Surrey Centre NBR,,Asphalt,Engineering,Bike Route,In Service,No
118,Cycling-Permitted Sidewalk,,,,,Concrete,Engineering,Bike Route,In Service,No
119,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
120,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
121,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
122,Bike Lanes,,Transportation,,Engineering,,,Bike Route,In Service,
123,Bike Lanes,,Transportation,,Engineering,,,Bike Route,In Service,
124,Cycling-Permitted Sidewalk,,Multi-use,Hook Greenway,Greenway,Asphalt Concrete,Engineering,Bike Route,In Service,No
125,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
126,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
127,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
128,Neighbourhood Bike Route,,Multi-use,Green Timbers Greenway,Greenway,Asphalt,Engineering,Bike Route,In Service,
129,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
130,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
131,Cycling-Permitted Sidewalk,,,,,Concrete,Engineering,Bike Route,In Service,No
132,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
133,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
134,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
135,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
136,Bike Lanes,,Transportation,,Engineering,,Engineering,Bike Route,In Service,
137,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
138,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
139,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
140,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
141,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
142,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
143,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
144,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
145,Shared Traffic,,,,,Asphalt,,Bike Route,In Service,
146,Bike Lanes,,,,,Asphalt,,Bike Route,In Service,
147,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
148,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
149,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
150,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
151,Neighbourhood Bike Route,,Multi-use,North Creek Greenway,Greenway,Asphalt,Engineering,Bike Route,In Service,No
152,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
153,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
154,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
155,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
156,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
157,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
158,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
159,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
160,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
161,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
162,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
163,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
164,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
165,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
166,Shared Traffic,,Transportation,,Engineering,,Engineering,Bike Route,In Service,
167,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
168,Neighbourhood Bike Route,,,,,Dirt,Engineering,Bike Route,In Service,No
169,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
170,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
171,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
172,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
173,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
174,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
175,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
176,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
177,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
178,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
179,Cycling-Permitted Sidewalk,,,,,Concrete,Engineering,Bike Route,In Service,No
180,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
181,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
182,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
183,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
184,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
185,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
186,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
187,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
188,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
189,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
190,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
191,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
192,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
193,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
194,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
195,Neighbourhood Bike Route,,Transportation,Port Mann - City Centre,Engineering,,,Bike Route,In Service,
196,Neighbourhood Bike Route,,Transportation,Port Mann - City Centre,Engineering,,,Bike Route,In Service,
197,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
198,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
199,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
200,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
201,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
202,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
203,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
204,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
205,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
206,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
207,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,
208,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
209,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
210,Bike Lanes,,Transportation,,Engineering,,Engineering,Bike Route,In Service,
211,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
212,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
213,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
214,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
215,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
216,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
217,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
218,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
219,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
220,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
221,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
222,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
223,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
224,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
225,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
226,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
227,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
228,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
229,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
230,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
231,Bike Lanes,,Transportation,,Engineering,,Engineering,Bike Route,In Service,No
